timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,,
1.65546E+12,6765,Login,200,OK,Workers 1-86,text,TRUE,,3195,830,150,150,http://localhost/login,6765,0,1,,,,,,
1.65546E+12,6794,Login,200,OK,Workers 1-88,text,TRUE,,3194,830,150,150,http://localhost/login,6794,0,0,,,,,,
1.65546E+12,2886,addProductToCart,200,OK,Workers 1-90,text,TRUE,,3233,831,150,150,http://localhost/addToCart,2886,0,1,,,,,,
1.65546E+12,2960,addProductToCart,200,OK,Workers 1-91,text,TRUE,,3232,801,150,150,http://localhost/addToCart,2960,0,1,,,,,,
1.65546E+12,3050,addProductToCart,200,OK,Workers 1-92,text,TRUE,,3231,831,150,150,http://localhost/addToCart,3050,0,1,,,,,,
1.65546E+12,1202,Purchase Items,200,OK,Workers 1-58,text,TRUE,,3607,2059,150,150,http://localhost/purchaseCart,1202,0,1,,,,,,
1.65546E+12,761,Purchase Items,200,OK,Workers 1-72,text,TRUE,,3608,1963,150,150,http://localhost/purchaseCart,761,0,1,,,,,,
1.65546E+12,3151,addProductToCart,200,OK,Workers 1-93,text,TRUE,,3233,811,150,150,http://localhost/addToCart,3151,0,0,,,,,,
1.65546E+12,6999,Login,200,OK,Workers 1-94,text,TRUE,,3196,810,150,150,http://localhost/login,6999,0,1,,,,,,
1.65546E+12,7040,Login,200,OK,Workers 1-96,text,TRUE,,3195,795,150,150,http://localhost/login,7040,0,0,,,,,,
1.65546E+12,7071,Login,200,OK,Workers 1-98,text,TRUE,,3196,790,150,150,http://localhost/login,7071,0,1,,,,,,
1.65546E+12,3536,addProductToCart,200,OK,Workers 1-99,text,TRUE,,3233,836,150,150,http://localhost/addToCart,3536,0,0,,,,,,
1.65546E+12,7133,Login,200,OK,Workers 1-100,text,TRUE,,3194,825,150,150,http://localhost/login,7133,0,1,,,,,,
1.65546E+12,7161,Login,200,OK,Workers 1-102,text,TRUE,,3194,791,150,150,http://localhost/login,7161,0,1,,,,,,
